,state,county,fips,cases,deaths,STATE,COUNTY,YEAR,AGE65PLUS_TOT,TOT_POP,oldper,wper,bper,iper,aper,nper,Year_x,hpilag,Year_y,hpinow,Division,covidrate
0,Alabama,Autauga,1001.0,1773.0,25.0,1,1,2,9273,117754.0,0.07874891723423408,0.7571717308966149,0.20612463270886763,0.004772661650559641,0.011719347113473852,0.001120981028245325,2020.0,181.8,2021.0,202.2,East South Central,0.00021230701292525094
1,Alabama,Barbour,1005.0,885.0,7.0,1,5,2,4960,50360.0,0.09849086576648133,0.4897537728355838,0.48200953137410646,0.007148530579825258,0.0046068308181096106,0.0022239872915011914,2020.0,167.88,2021.0,201.05,East South Central,0.00013899920571882446
2,Alabama,Bibb,1007.0,656.0,10.0,1,7,2,3691,44446.0,0.08304459343922962,0.7657381991630293,0.2119875804346848,0.004814831480898169,0.002519911803086892,0.001304954326598569,2020.0,182.98,2021.0,200.79,East South Central,0.00022499212527561535
3,Alabama,Butler,1013.0,916.0,39.0,1,13,2,3962,38090.0,0.10401680231031767,0.5195589393541612,0.45009188763454977,0.00420057757941717,0.014229456550275663,0.000420057757941717,2020.0,188.09,2021.0,212.92,East South Central,0.0010238907849829352
4,Alabama,Clay,1027.0,587.0,8.0,1,27,2,2969,28386.0,0.10459381385189882,0.8333685619671669,0.13908264637497358,0.00549566687803847,0.002677376171352075,0.0,2020.0,202.36,2021.0,217.62,East South Central,0.0002818290706686395
5,Alabama,Colbert,1033.0,1666.0,26.0,1,33,2,11441,114472.0,0.09994583828359774,0.8026416940387169,0.16271227898525403,0.00667412118247257,0.006778950310993081,0.0006639178139632399,2020.0,174.71,2021.0,200.47,East South Central,0.0002271297784611084
6,Alabama,Conecuh,1035.0,536.0,11.0,1,35,2,2705,23104.0,0.11707929362880887,0.5147160664819944,0.46035318559556787,0.005972991689750693,0.002943213296398892,0.00034626038781163435,2020.0,219.85,2021.0,238.17,East South Central,0.00047610803324099724
7,Alabama,Fayette,1057.0,462.0,9.0,1,57,2,3500,32614.0,0.10731587661740356,0.8569939289875513,0.11737290734040597,0.004783221929232845,0.005089838719568284,0.0,2020.0,162.88,2021.0,188.33,East South Central,0.0002759551113018949
8,Alabama,Houston,1069.0,2920.0,23.0,1,69,2,19508,214380.0,0.09099729452374289,0.6833193394906242,0.2772366825263551,0.0054575986565911,0.011288366452094412,0.0009795689896445563,2020.0,170.91,2021.0,193.93,East South Central,0.00010728612743726094
9,Alabama,Jackson,1071.0,1581.0,11.0,1,71,2,10831,105038.0,0.10311506312001371,0.9143738456558579,0.034406595708219884,0.0161274967154744,0.00557893333841086,0.001275728783868695,2020.0,170.54,2021.0,191.4,East South Central,0.00010472400464593766
10,Alabama,Jefferson,1073.0,19752.0,351.0,1,73,2,109496,1346682.0,0.08130798510710027,0.5281528972689915,0.4366331472463432,0.0028380864970349346,0.018268603872332145,0.0005227663249378844,2020.0,176.08,2021.0,190.35,East South Central,0.0002606405966664736
11,Alabama,Lamar,1075.0,370.0,2.0,1,75,2,3065,27886.0,0.10991178369074088,0.8756365201176217,0.10291902746898085,0.0035143082550383705,0.0010040880728681058,0.00014344115326687227,2020.0,177.84,2021.0,194.79,East South Central,7.172057663343613e-05
12,Alabama,Lauderdale,1077.0,1723.0,33.0,1,77,2,19018,187220.0,0.10158102766798419,0.8675568849481893,0.10039525691699605,0.004550795855143681,0.008973400277748103,0.0007584659758572802,2020.0,173.98,2021.0,196.54,East South Central,0.00017626321974148062
13,Alabama,Limestone,1083.0,2119.0,20.0,1,83,2,16004,208644.0,0.07670481777573283,0.8088226836141945,0.13929947662046357,0.008099921397212476,0.01794444124920918,0.0017445984547842257,2020.0,156.34,2021.0,183.71,East South Central,9.585705795517724e-05
14,Alabama,Lowndes,1085.0,654.0,27.0,1,85,2,2019,20594.0,0.09803826357191416,0.2553170826454307,0.7301155676410604,0.0033019326017286587,0.0041759735845391865,0.00038846265902690104,2020.0,174.81,2021.0,192.85,East South Central,0.001311061474215791
15,Alabama,Madison,1089.0,7927.0,80.0,1,89,2,59233,779392.0,0.0759989838232879,0.6887086344227296,0.24808825340778454,0.007877935621612745,0.026525804729840695,0.0010828953851207096,2020.0,180.12,2021.0,199.05,East South Central,0.00010264411233371654
16,Alabama,Marshall,1095.0,3961.0,44.0,1,95,2,16604,195216.0,0.08505450372920252,0.9270346692894025,0.03109376280632735,0.011177362511269568,0.007929677895254488,0.0035447914105401195,2020.0,158.07,2021.0,176.11,East South Central,0.00022539136136382262
17,Alabama,Pickens,1107.0,666.0,14.0,1,107,2,3678,38124.0,0.096474661630469,0.5780086035043542,0.40090231874934423,0.002885321582205435,0.0036197670758577275,0.003462385898646522,2020.0,170.24,2021.0,217.7,East South Central,0.0003672227468261463
18,Alabama,Pike,1109.0,1205.0,10.0,1,109,2,5095,65962.0,0.07724144204238804,0.5735726630484218,0.3816439768351475,0.006973712137291168,0.018434856432491434,0.000848973651496316,2020.0,216.5,2021.0,258.08,East South Central,0.00015160243776719928
